10,0.000001
11,0.000001
12,0.000001
13,0.000001
14,0.000001
15,0.000001
16,0.000001
17,0.000001
18,0.000002
19,0.000002
20,0.000002
21,0.000002
22,0.000002
23,0.000002
24,0.000002
25,0.000003
26,0.000003
27,0.000003
28,0.000003
29,0.000003
30,0.000003
31,0.000004
32,0.000004
33,0.000004
34,0.000004
35,0.000005
36,0.000005
37,0.000005
38,0.000005
39,0.000005
40,0.000007
41,0.000006
42,0.000006
43,0.000010
44,0.000007
45,0.000008
46,0.000008
47,0.000009
48,0.000008
49,0.000009
50,0.000009
51,0.000009
52,0.000010
53,0.000010
54,0.000011
55,0.000011
56,0.000011
57,0.000012
58,0.000013
59,0.000013
60,0.000013
61,0.000014
62,0.000015
63,0.000016
64,0.000016
65,0.000016
66,0.000016
67,0.000017
68,0.000017
69,0.000018
70,0.000018
71,0.000018
72,0.000018
73,0.000019
74,0.000020
75,0.000020
76,0.000020
77,0.000022
78,0.000023
79,0.000022
80,0.000023
81,0.000023
82,0.000024
83,0.000024
84,0.000024
85,0.000025
86,0.000026
87,0.000034
88,0.000028
89,0.000029
90,0.000030
91,0.000030
92,0.000032
93,0.000032
94,0.000033
95,0.000032
96,0.000035
97,0.000034
98,0.000034
99,0.000035
100,0.000129
101,0.000125
102,0.000122
103,0.000122
104,0.000121
105,0.000124
106,0.000121
107,0.000126
108,0.000128
109,0.000134
